% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
3171; -0.000110545; 0.35534; -0.000190826; 1.13753; 0.000170739; 1.64833; 1.57147; -0.206310; -3.206519; -2.605655; 0.074584; -0.003349; 0.004093; 0; 1; 61957969; 0; -1; -389.842; 0.0731665; 457.335; -179.978; 0.00596408; 89.9458
3218; -0.000110545; 0.355445; -0.000190826; 1.13585; 0.000170739; 1.65009; 1.57147; -0.176981; -3.199401; -2.583071; 0.074237; -0.002175; 0.004087; 0; 1; 61958255; 0; -1; -389.808; 0.0731271; 457.756; -179.988; 0.00595462; 89.9458
3265; -0.000110545; 0.35573; -0.000190826; 1.13318; 0.000170739; 1.65253; 1.57147; -0.181167; -3.206659; -2.590507; 0.074588; -0.002384; 0.004089; 0; 1; 61958542; 0; -1; -389.834; 0.0730834; 458.382; -179.991; 0.00594796; 89.9458
3296; -0.000110545; 0.355856; -0.000190826; 1.1305; 0.000170739; 1.65481; 1.57147; -0.189660; -3.206681; -2.575403; 0.074372; -0.002151; 0.004090; 0; 1; 61958836; 0; -1; -389.861; 0.0730442; 459.07; -179.975; 0.00595511; 89.9458
3343; -0.000110545; 0.356098; -0.000190826; 1.12867; 0.000170739; 1.65654; 1.57147; -0.168617; -3.204280; -2.598293; 0.074395; -0.001647; 0.004218; 0; 1; 61959123; 0; -1; -389.873; 0.0730114; 459.479; -179.984; 0.00594554; 89.9459
3390; -0.000110545; 0.356267; -0.000190826; 1.1269; 0.000170739; 1.65825; 1.57147; -0.172861; -3.206804; -2.567915; 0.074153; -0.001717; 0.004085; 0; 1; 61959409; 0; -1; -389.867; 0.0729769; 459.902; -179.99; 0.00593827; 89.9459
3421; -0.000110545; 0.356509; -0.000190826; 1.12401; 0.000170739; 1.66056; 1.57147; -0.147660; -3.201994; -2.575557; 0.074210; -0.000754; 0.003950; 0; 1; 61959698; 0; -1; -389.936; 0.0729427; 460.604; -179.97; 0.00594675; 89.9459
3453; -0.000110545; 0.356719; -0.000190826; 1.12194; 0.000170739; 1.66229; 1.57147; -0.189596; -3.201799; -2.598379; 0.073985; -0.002148; 0.003957; 0; 1; 61959984; 0; -1; -389.976; 0.0729149; 461.092; -179.963; 0.00594786; 89.9459
3515; -0.000110545; 0.356872; -0.000190826; 1.12047; 0.000170739; 1.66393; 1.57147; -0.193790; -3.199248; -2.605808; 0.074452; -0.002356; 0.004091; 0; 1; 61960270; 0; -1; -389.933; 0.0728755; 461.437; -179.982; 0.00593258; 89.9459
3546; -0.000110545; 0.35714; -0.000190826; 1.11814; 0.000170739; 1.66643; 1.57147; -0.181220; -3.206690; -2.590636; 0.074368; -0.002001; 0.004088; 0; 1; 61960558; 0; -1; -389.886; 0.0728184; 461.973; 179.993; 0.00591096; 89.946
3578; -0.000110545; 0.35714; -0.000190826; 1.11814; 0.000170739; 1.66643; 1.57147; -0.189646; -3.201812; -2.590792; 0.073987; -0.001893; 0.003957; 0; 1; 61960847; 0; -1; -389.886; 0.0728184; 461.973; 179.993; 0.00591096; 89.946
3624; -0.000110545; 0.357546; -0.000190826; 1.11356; 0.000170739; 1.67052; 1.57147; -0.181272; -3.206721; -2.590765; 0.074148; -0.001618; 0.004087; 0; 1; 61961131; 0; -1; -389.914; 0.0727421; 463.076; 179.998; 0.00590641; 89.946
3671; -0.000110545; 0.357651; -0.000190826; 1.11148; 0.000170739; 1.67222; 1.57147; -0.181269; -3.206703; -2.583049; 0.074370; -0.001746; 0.004088; 0; 1; 61961418; 0; -1; -389.938; 0.0727129; 463.607; -179.986; 0.00591383; 89.946
3703; -0.000110545; 0.357651; -0.000190826; 1.11148; 0.000170739; 1.67222; 1.57147; -0.206439; -3.191996; -2.590928; 0.073664; -0.002445; 0.004091; 0; 1; 61961707; 0; -1; -389.938; 0.0727129; 463.607; -179.986; 0.00591383; 89.946
